Nivel territorial: Nivel 1;Nivel territorial: Nivel 2;Sexo;Indicadores;Periodo;Total
Madrid;Palacio (Madrid);Total;Renta neta media anual de los hogares (Euros);2017;35.533,26
Madrid;Embajadores-2 (Madrid);Total;Renta neta media anual de los hogares (Euros);2017;30.678,78
Madrid;Embajadores-1 (Madrid);Total;Renta neta media anual de los hogares (Euros);2017;24.713,38
Madrid;Cortes (Madrid);Total;Renta neta media anual de los hogares (Euros);2017;37.418,12
Madrid;Justicia (Madrid);Total;Renta neta media anual de los hogares (Euros);2017;41.632,09
Madrid;Universidad (Madrid);Total;Renta neta media anual de los hogares (Euros);2017;31.895,07
Madrid;Sol (Madrid);Total;Renta neta media anual de los hogares (Euros);2017;31.707,12
Madrid;Imperial (Madrid);Total;Renta neta media anual de los hogares (Euros);2017;43.155,55
Madrid;Acacias (Madrid);Total;Renta neta media anual de los hogares (Euros);2017;45.564,84
Madrid;Chopera (Madrid);Total;Renta neta media anual de los hogares (Euros);2017;32.355,15
Madrid;Legazpi (Madrid);Total;Renta neta media anual de los hogares (Euros);2017;50.468,95
Madrid;Atocha-Delicias (Madrid);Total;Renta neta media anual de los hogares (Euros);2017;40.392,13
Madrid;Palos de Moguer (Madrid);Total;Renta neta media anual de los hogares (Euros);2017;34.667,46
Madrid;Pacífico (Madrid);Total;Renta neta media anual de los hogares (Euros);2017;42.900,50
Madrid;Adelfas (Madrid);Total;Renta neta media anual de los hogares (Euros);2017;46.187,22
Madrid;Estrella (Madrid);Total;Renta neta media anual de los hogares (Euros);2017;59.541,74
Madrid;Ibiza (Madrid);Total;Renta neta media anual de los hogares (Euros);2017;46.839,53
Madrid;Niño Jesús-Jerónimos (Madrid);Total;Renta neta media anual de los hogares (Euros);2017;76.496,05
Madrid;Recoletos (Madrid);Total;Renta neta media anual de los hogares (Euros);2017;97.425,42
Madrid;Goya (Madrid);Total;Renta neta media anual de los hogares (Euros);2017;50.755,62
Madrid;Fuente del Berro (Madrid);Total;Renta neta media anual de los hogares (Euros);2017;41.675,23
Madrid;Guindalera-1 (Madrid);Total;Renta neta media anual de los hogares (Euros);2017;52.676,67
Madrid;Lista (Madrid);Total;Renta neta media anual de los hogares (Euros);2017;49.662,33
Madrid;Castellana (Madrid);Total;Renta neta media anual de los hogares (Euros);2017;90.117,96
Madrid;El Viso (Madrid);Total;Renta neta media anual de los hogares (Euros);2017;121.948,88
Madrid;Prosperidad (Madrid);Total;Renta neta media anual de los hogares (Euros);2017;44.727,45
Madrid;Ciudad Jardín (Madrid);Total;Renta neta media anual de los hogares (Euros);2017;44.444,99
Madrid;Hispanoamérica (Madrid);Total;Renta neta media anual de los hogares (Euros);2017;63.812,72
Madrid;Nueva España (Madrid);Total;Renta neta media anual de los hogares (Euros);2017;89.826,12
Madrid;Castilla (Madrid);Total;Renta neta media anual de los hogares (Euros);2017;56.995,81
Madrid;Bellas Vistas (Madrid);Total;Renta neta media anual de los hogares (Euros);2017;31.764,89
Madrid;Cuatro Caminos (Madrid);Total;Renta neta media anual de los hogares (Euros);2017;44.463,73
Madrid;Castillejos (Madrid);Total;Renta neta media anual de los hogares (Euros);2017;46.950,98
Madrid;Almenara (Madrid);Total;Renta neta media anual de los hogares (Euros);2017;29.672,32
Madrid;Valdeacederas (Madrid);Total;Renta neta media anual de los hogares (Euros);2017;28.692,89
Madrid;Berruguete (Madrid);Total;Renta neta media anual de los hogares (Euros);2017;29.324,19
Madrid;Gaztambide (Madrid);Total;Renta neta media anual de los hogares (Euros);2017;44.379,10
Madrid;Arapiles (Madrid);Total;Renta neta media anual de los hogares (Euros);2017;42.963,65
Madrid;Trafalgar (Madrid);Total;Renta neta media anual de los hogares (Euros);2017;42.774,36
Madrid;Almagro (Madrid);Total;Renta neta media anual de los hogares (Euros);2017;75.559,27
Madrid;Rios Rosas (Madrid);Total;Renta neta media anual de los hogares (Euros);2017;49.854,72
Madrid;Vallehermoso (Madrid);Total;Renta neta media anual de los hogares (Euros);2017;58.732,88
Madrid;Peñagrande-2 (Madrid);Total;Renta neta media anual de los hogares (Euros);2017;42.932,46
Madrid;Peñagrande-1 (Madrid);Total;Renta neta media anual de los hogares (Euros);2017;52.869,45
Madrid;Pilar-1 (Madrid);Total;Renta neta media anual de los hogares (Euros);2017;33.452,55
Madrid;Pilar-2 (Madrid);Total;Renta neta media anual de los hogares (Euros);2017;35.113,46
Madrid;La Paz (Madrid);Total;Renta neta media anual de los hogares (Euros);2017;59.243,71
Madrid;Valverde-2 (Madrid);Total;Renta neta media anual de los hogares (Euros);2017;28.386,57
Madrid;El Goloso-El Pardo-Fuentelarreina (Madrid);Total;Renta neta media anual de los hogares (Euros);2017;62.486,16
Madrid;Valverde-1 (Madrid);Total;Renta neta media anual de los hogares (Euros);2017;56.494,59
Madrid;Mirasierra (Madrid);Total;Renta neta media anual de los hogares (Euros);2017;79.496,00
Madrid;Casa de Campo (Madrid);Total;Renta neta media anual de los hogares (Euros);2017;42.570,98
Madrid;Argüelles (Madrid);Total;Renta neta media anual de los hogares (Euros);2017;52.033,44
Madrid;Ciudad Universitaria (Madrid);Total;Renta neta media anual de los hogares (Euros);2017;66.918,13
Madrid;Valdezarza (Madrid);Total;Renta neta media anual de los hogares (Euros);2017;35.554,87
Madrid;Aravaca-Plantio-Valdemarin (Madrid);Total;Renta neta media anual de los hogares (Euros);2017;88.874,97
Madrid;Cármenes (Madrid);Total;Renta neta media anual de los hogares (Euros);2017;29.970,45
Madrid;Puerta del Angel-1 (Madrid);Total;Renta neta media anual de los hogares (Euros);2017;29.321,75
Madrid;Puerta del Angel-2 (Madrid);Total;Renta neta media anual de los hogares (Euros);2017;25.730,98
Madrid;Lucero (Madrid);Total;Renta neta media anual de los hogares (Euros);2017;30.393,66
Madrid;Aluche-2 (Madrid);Total;Renta neta media anual de los hogares (Euros);2017;34.281,42
Madrid;Aluche-3 (Madrid);Total;Renta neta media anual de los hogares (Euros);2017;27.971,92
Madrid;Aluche-1 (Madrid);Total;Renta neta media anual de los hogares (Euros);2017;31.827,03
Madrid;Campamento (Madrid);Total;Renta neta media anual de los hogares (Euros);2017;31.994,60
Madrid;Cuatro Vientos-Aguilas (Madrid);Total;Renta neta media anual de los hogares (Euros);2017;31.599,55
Madrid;Aguilas-1 (Madrid);Total;Renta neta media anual de los hogares (Euros);2017;29.136,24
Madrid;Aguilas-2 (Madrid);Total;Renta neta media anual de los hogares (Euros);2017;32.854,78
Madrid;Comillas (Madrid);Total;Renta neta media anual de los hogares (Euros);2017;27.926,13
Madrid;Opañel (Madrid);Total;Renta neta media anual de los hogares (Euros);2017;28.321,53
Madrid;San Isidro (Madrid);Total;Renta neta media anual de los hogares (Euros);2017;26.489,80
Madrid;Vista Alegre-1 (Madrid);Total;Renta neta media anual de los hogares (Euros);2017;25.689,23
Madrid;Puerta Bonita (Madrid);Total;Renta neta media anual de los hogares (Euros);2017;26.023,82
Madrid;Buenavista-1 (Madrid);Total;Renta neta media anual de los hogares (Euros);2017;26.542,78
Madrid;Buenavista-2 (Madrid);Total;Renta neta media anual de los hogares (Euros);2017;36.400,91
Madrid;Abrantes (Madrid);Total;Renta neta media anual de los hogares (Euros);2017;28.533,75
Madrid;Orcasitas (Madrid);Total;Renta neta media anual de los hogares (Euros);2017;27.581,36
Madrid;Orcasur (Madrid);Total;Renta neta media anual de los hogares (Euros);2017;25.048,56
Madrid;San Fermín (Madrid);Total;Renta neta media anual de los hogares (Euros);2017;25.998,18
Madrid;Almendrales (Madrid);Total;Renta neta media anual de los hogares (Euros);2017;25.897,28
Madrid;Moscardó (Madrid);Total;Renta neta media anual de los hogares (Euros);2017;26.569,51
Madrid;Zofío (Madrid);Total;Renta neta media anual de los hogares (Euros);2017;25.769,76
Madrid;Pradolongo (Madrid);Total;Renta neta media anual de los hogares (Euros);2017;23.477,43
Madrid;Entrevías (Madrid);Total;Renta neta media anual de los hogares (Euros);2017;22.504,86
Madrid;San Diego-1 (Madrid);Total;Renta neta media anual de los hogares (Euros);2017;22.015,73
Madrid;Palomeras Bajas-1 (Madrid);Total;Renta neta media anual de los hogares (Euros);2017;26.733,29
Madrid;Palomeras Bajas-2 (Madrid);Total;Renta neta media anual de los hogares (Euros);2017;32.828,73
Madrid;Palomeras Sureste-2 (Madrid);Total;Renta neta media anual de los hogares (Euros);2017;27.022,94
Madrid;Palomeras Sureste-1 (Madrid);Total;Renta neta media anual de los hogares (Euros);2017;27.699,39
Madrid;Portazgo (Madrid);Total;Renta neta media anual de los hogares (Euros);2017;24.114,41
Madrid;Numancia-2 (Madrid);Total;Renta neta media anual de los hogares (Euros);2017;28.908,21
Madrid;Numancia-1 (Madrid);Total;Renta neta media anual de los hogares (Euros);2017;23.552,11
Madrid;Pavones (Madrid);Total;Renta neta media anual de los hogares (Euros);2017;34.345,08
Madrid;Marroquina (Madrid);Total;Renta neta media anual de los hogares (Euros);2017;40.470,97
Madrid;Media Legua (Madrid);Total;Renta neta media anual de los hogares (Euros);2017;35.941,55
Madrid;Fontarrón (Madrid);Total;Renta neta media anual de los hogares (Euros);2017;28.455,37
Madrid;Vinateros (Madrid);Total;Renta neta media anual de los hogares (Euros);2017;29.500,57
Madrid;Horcajo (Madrid);Total;Renta neta media anual de los hogares (Euros);2017;45.289,26
Madrid;Ventas-1 (Madrid);Total;Renta neta media anual de los hogares (Euros);2017;30.276,20
Madrid;Ventas-2 (Madrid);Total;Renta neta media anual de los hogares (Euros);2017;27.809,10
Madrid;Pueblo Nuevo-1 (Madrid);Total;Renta neta media anual de los hogares (Euros);2017;28.533,09
Madrid;Pueblo Nuevo-2 (Madrid);Total;Renta neta media anual de los hogares (Euros);2017;32.266,89
Madrid;Quintana (Madrid);Total;Renta neta media anual de los hogares (Euros);2017;30.698,36
Madrid;Concepción (Madrid);Total;Renta neta media anual de los hogares (Euros);2017;34.612,70
Madrid;San Pascual (Madrid);Total;Renta neta media anual de los hogares (Euros);2017;43.122,95
